"Regionale kerncijfers Nederland"
""
"";"";"Onderwerp"
"";"";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Voortgezet onderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsopleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Beroepsbegeleidende leerweg";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Hoger beroepsonderwijs";"Onderwijs|Naar woongemeente|Leerlingen/studenten|Wetenschappelijk onderwijs"
"Perioden";"Regio's";"aantal";"aantal";"aantal";"aantal";"aantal"
"2006";"Lopik";"875";"284";"171";"238";"77"
"2006";"Maarn";"";"";"";"";""
"2006";"Maarssen";"2517";"822";"318";"787";"340"
"2006";"Maartensdijk";"";"";"";"";""
"2006";"Medemblik";"394";"160";"87";"104";"26"
"2006";"Montfoort";"851";"244";"150";"252";"91"
"2006";"Muiden";"407";"104";"32";"86";"41"
"2006";"Naarden";"1168";"172";"58";"210";"124"
"2006";"Nederhorst den Berg";"";"";"";"";""
"2006";"Niedorp";"749";"222";"116";"206";"36"
"2006";"Nieuwegein";"3277";"1272";"540";"1254";"541"
"2006";"Noorder-Koggenland";"678";"206";"106";"156";"36"
"2006";"Obdam";"432";"145";"105";"147";"36"
"2006";"Oostzaan";"523";"154";"77";"138";"56"
"2006";"Opmeer";"722";"272";"137";"188";"22"
"2006";"Ouder-Amstel";"764";"176";"79";"232";"170"
"2006";"Oudewater";"619";"190";"105";"166";"37"
"2006";"Purmerend";"4414";"1838";"725";"1448";"505"
"2006";"Renswoude";"305";"107";"55";"76";"18"
"2006";"Rhenen";"1050";"311";"178";"269";"76"
"2006";"De Ronde Venen";"2229";"613";"261";"685";"208"
"2006";"Schagen";"1021";"366";"177";"310";"100"
"2006";"Schermer";"350";"106";"67";"88";"27"
"2006";"Schoorl";"";"";"";"";""
"2006";"Soest";"2668";"816";"334";"735";"268"
"2006";"Stede Broec";"1278";"385";"240";"372";"96"
"2006";"Stichtse Vecht";"";"";"";"";""
"2006";"Texel";"928";"197";"129";"73";"17"
"2006";"Uitgeest";"750";"223";"106";"273";"78"
"2006";"Uithoorn";"1554";"453";"170";"390";"177"
"2006";"Utrecht (gemeente)";"10790";"5221";"1299";"11934";"18045"
"2006";"Utrechtse Heuvelrug";"2936";"797";"389";"689";"274"
"2006";"Veenendaal";"3941";"1431";"577";"1246";"383"
"2006";"Velsen";"4127";"1171";"693";"1003";"398"
"2006";"Venhuizen";"";"";"";"";""
"2006";"Vianen";"1140";"432";"183";"324";"99"
"2006";"Vijfheerenlanden";"";"";"";"";""
"2006";"Vleuten-De Meern";"";"";"";"";""
"2006";"Waterland";"1110";"352";"147";"354";"166"
"2006";"Weesp";"855";"364";"146";"320";"141"
"2006";"Wervershoof";"579";"184";"91";"150";"36"
"2006";"Wester-Koggenland";"900";"297";"139";"236";"52"
"2006";"Wieringen";"441";"176";"84";"104";"23"
"2006";"Wieringermeer";"739";"206";"130";"160";"38"
"2006";"Wijdemeren";"1459";"327";"149";"333";"140"
"2006";"Wijk bij Duurstede";"1656";"547";"253";"395";"125"
"2006";"Woerden";"2945";"959";"448";"995";"403"
"2006";"Wognum";"584";"156";"77";"164";"50"
"2006";"Wormerland";"933";"280";"153";"253";"98"
"2006";"Woudenberg";"748";"199";"120";"194";"53"
"2006";"Zaanstad";"7197";"2884";"1371";"2390";"981"
"2006";"Zandvoort";"771";"244";"103";"191";"101"
"2006";"Zeevang";"414";"92";"52";"93";"44"
"2006";"Zeist";"3233";"1023";"297";"1201";"995"
"2006";"Zijpe";"671";"229";"94";"170";"43"
"2007";"Aalburg";"878";"228";"189";"196";"46"
"2007";"Aalsmeer";"1521";"437";"174";"359";"149"
"2007";"Aarle-Rixtel";"";"";"";"";""
"2007";"Abcoude";"606";"97";"58";"140";"80"
"2007";"Akersloot";"";"";"";"";""
"2007";"Alkmaar";"5107";"1852";"1102";"2126";"792"
"2007";"Alphen en Riel";"";"";"";"";""
"2007";"Alphen-Chaam";"644";"175";"84";"192";"56"
"2007";"Altena";"";"";"";"";""
"2007";"Amerongen";"";"";"";"";""
"2007";"Amersfoort";"8270";"2830";"1174";"3168";"1056"
"2007";"Amstelveen";"4151";"803";"337";"1725";"2675"
"2007";"Amsterdam";"31743";"15487";"4912";"20511";"24004"
"2007";"Andijk";"410";"138";"58";"104";"35"
"2007";"Anna Paulowna";"914";"323";"184";"238";"36"
"2007";"Asten";"1090";"338";"210";"296";"58"
"2007";"Baarle-Nassau";"322";"112";"57";"102";"22"
"2007";"Baarn";"1339";"387";"160";"426";"134"
"2007";"Bakel en Milheeze";"";"";"";"";""
"2007";"Beek en Donk";"";"";"";"";""
"2007";"Beemster";"546";"147";"96";"132";"67"
"2007";"Bennebroek";"334";"51";"26";"50";"42"
"2007";"Bergeijk";"1143";"351";"224";"293";"56"
"2007";"Bergen (NH.)";"1890";"415";"285";"461";"198"
"2007";"Bergen op Zoom";"3878";"1292";"996";"1131";"264"
"2007";"Bergeyk";"";"";"";"";""
"2007";"Berkel-Enschot";"";"";"";"";""
"2007";"Berlicum";"";"";"";"";""
"2007";"Bernheze";"1892";"587";"339";"647";"166"
"2007";"Best";"1881";"567";"260";"562";"188"
"2007";"Beverwijk";"1863";"696";"516";"608";"212"
"2007";"De Bilt";"2868";"531";"236";"706";"498"
"2007";"Bladel";"1209";"365";"218";"289";"71"
"2007";"Bladel en Netersel";"";"";"";"";""
"2007";"Blaricum";"591";"110";"46";"133";"73"
"2007";"Bloemendaal";"1231";"124";"50";"231";"184"
"2007";"Boekel";"630";"227";"119";"149";"38"
"2007";"Boxmeer";"1864";"680";"278";"483";"132"
"2007";"Boxtel";"1894";"644";"307";"625";"177"
"2007";"Breda";"9404";"2855";"1485";"7467";"1184"
"2007";"Breukelen";"891";"214";"122";"252";"112"
"2007";"Budel";"";"";"";"";""
"2007";"Bunnik";"1013";"178";"68";"266";"183"
"2007";"Bunschoten";"1314";"377";"314";"401";"83"
"2007";"Bussum";"1902";"336";"182";"459";"257"
"2007";"Castricum";"2366";"510";"333";"793";"302"
"2007";"Chaam";"";"";"";"";""
"2007";"Cothen";"";"";"";"";""
"2007";"Cranendonck";"1006";"359";"204";"362";"84"
"2007";"Cuijk";"1483";"512";"242";"398";"93"
"2007";"Deurne";"2112";"831";"483";"622";"149"
"2007";"Diemen";"1393";"509";"140";"812";"538"
"2007";"Diessen";"";"";"";"";""
"2007";"Dijk en Waard";"";"";"";"";""
"2007";"Dinteloord en Prinsenland";"";"";"";"";""
"2007";"Dongen";"1545";"525";"238";"442";"100"
"2007";"Doorn";"";"";"";"";""
"2007";"Drechterland";"1232";"345";"205";"362";"104"
"2007";"Driebergen-Rijsenburg";"";"";"";"";""
"2007";"Drimmelen";"1603";"543";"332";"493";"104"
"2007";"Drunen";"";"";"";"";""
"2007";"Den Dungen";"";"";"";"";""
"2007";"Dussen";"";"";"";"";""
"2007";"Edam-Volendam";"1675";"344";"285";"397";"250"
"2007";"Eemnes";"650";"117";"75";"167";"64"
"2007";"Eersel";"1285";"337";"190";"314";"89"
"2007";"Egmond";"";"";"";"";""
"2007";"Eindhoven";"10141";"3754";"1661";"6423";"5225"
"2007";"Enkhuizen";"1143";"288";"169";"283";"102"
"2007";"Esch";"";"";"";"";""
"2007";"Etten-Leur";"2387";"748";"506";"841";"183"
"2007";"Fijnaart en Heijningen";"";"";"";"";""
"2007";"Geertruidenberg";"1152";"347";"252";"341";"91"
"2007";"Geldrop";"";"";"";"";""
"2007";"Geldrop-Mierlo";"2210";"680";"355";"690";"180"
"2007";"Gemert";"";"";"";"";""
"2007";"Gooise Meren";"";"";"";"";""
"2007";"Graft-De Rijp";"443";"102";"66";"101";"36"
"2007";"'s-Graveland";"";"";"";"";""
"2007";"Haarlem";"7376";"2157";"1140";"3486";"1579"
"2007";"Haarlemmerliede en Spaarnwoude";"400";"109";"51";"112";"59"
"2007";"Haarlemmermeer";"8269";"2575";"1153";"2593";"1121"
"2007";"Harenkarspel";"1015";"293";"214";"269";"65"
"2007";"Harmelen";"";"";"";"";""
"2007";"Heemskerk";"2431";"834";"505";"731";"257"
"2007";"Heemstede";"1673";"272";"98";"376";"264"
"2007";"Heerhugowaard";"2888";"1023";"618";"965";"291"
"2007";"Heiloo";"1380";"274";"123";"439";"146"
"2007";"Den Helder";"3265";"1375";"767";"814";"156"
"2007";"Hilversum";"4668";"1154";"624";"1618";"687"
"2007";"Hollands Kroon";"";"";"";"";""
"2007";"Hoorn";"4198";"1421";"676";"1317";"497"
"2007";"Houten";"3485";"988";"360";"1112";"471"
"2007";"Huizen";"2813";"837";"389";"855";"324"
"2007";"IJsselstein";"2225";"605";"262";"615";"274"
"2007";"Koggenland";"1404";"445";"262";"376";"103"
"2007";"Landsmeer";"628";"198";"90";"181";"72"
"2007";"Langbroek";"";"";"";"";""
"2007";"Langedijk";"1737";"494";"326";"541";"147"
"2007";"Laren (NH.)";"680";"71";"35";"112";"75"
"2007";"Leersum";"";"";"";"";""
"2007";"Leusden";"1951";"564";"253";"567";"184"
"2007";"Limmen";"";"";"";"";""
"2007";"Loenen";"498";"106";"36";"117";"41"
"2007";"Loosdrecht";"";"";"";"";""
"2007";"Lopik";"911";"288";"185";"248";"57"
"2007";"Maarn";"";"";"";"";""
"2007";"Maarssen";"2491";"753";"362";"811";"341"
"2007";"Maartensdijk";"";"";"";"";""
"2007";"Medemblik";"1691";"513";"292";"417";"129"
"2007";"Montfoort";"839";"258";"160";"283";"93"
"2007";"Muiden";"414";"102";"40";"78";"47"
"2007";"Naarden";"1213";"154";"60";"214";"137"
"2007";"Nederhorst den Berg";"";"";"";"";""
"2007";"Niedorp";"770";"235";"139";"214";"42"
"2007";"Nieuwegein";"3226";"1257";"596";"1325";"501"
"2007";"Noorder-Koggenland";"";"";"";"";""
"2007";"Obdam";"";"";"";"";""
"2007";"Oostzaan";"552";"170";"90";"138";"41"
"2007";"Opmeer";"731";"265";"151";"198";"29"
"2007";"Ouder-Amstel";"771";"155";"74";"243";"183"
"2007";"Oudewater";"632";"192";"113";"153";"51"
"2007";"Purmerend";"4639";"1720";"831";"1457";"503"
"2007";"Renswoude";"305";"86";"66";"73";"17"
"2007";"Rhenen";"1076";"311";"213";"264";"80"
"2007";"De Ronde Venen";"2246";"614";"292";"658";"243"
"2007";"Schagen";"1064";"336";"191";"318";"78"
"2007";"Schermer";"360";"102";"81";"102";"29"
"2007";"Schoorl";"";"";"";"";""
"2007";"Soest";"2674";"803";"376";"757";"253"
"2007";"Stede Broec";"1382";"386";"271";"354";"89"
"2007";"Stichtse Vecht";"";"";"";"";""
"2007";"Texel";"938";"195";"135";"79";"8"
"2007";"Uitgeest";"738";"220";"130";"286";"86"
"2007";"Uithoorn";"1695";"437";"189";"418";"184"
"2007";"Utrecht (gemeente)";"11191";"5233";"1516";"12495";"18422"
"2007";"Utrechtse Heuvelrug";"3050";"756";"418";"727";"285"
"2007";"Veenendaal";"3977";"1384";"678";"1269";"362"
"2007";"Velsen";"4278";"1164";"909";"1053";"432"
"2007";"Venhuizen";"";"";"";"";""
"2007";"Vianen";"1166";"396";"197";"340";"115"
"2007";"Vijfheerenlanden";"";"";"";"";""
"2007";"Vleuten-De Meern";"";"";"";"";""
"2007";"Waterland";"1122";"318";"170";"339";"147"
"2007";"Weesp";"871";"335";"142";"327";"150"
"2007";"Wervershoof";"629";"171";"111";"164";"33"
"2007";"Wester-Koggenland";"";"";"";"";""
"2007";"Wieringen";"457";"172";"85";"117";"18"
"2007";"Wieringermeer";"763";"197";"149";"164";"31"
"2007";"Wijdemeren";"1490";"300";"176";"329";"139"
"2007";"Wijk bij Duurstede";"1669";"475";"258";"424";"129"
"2007";"Woerden";"3014";"917";"438";"1030";"396"
"2007";"Wognum";"";"";"";"";""
"2007";"Wormerland";"977";"325";"179";"224";"87"
"2007";"Woudenberg";"779";"203";"113";"189";"61"
"2007";"Zaanstad";"7483";"2988";"1568";"2517";"1039"
"2007";"Zandvoort";"786";"242";"107";"191";"96"
"2007";"Zeevang";"448";"96";"48";"77";"44"
"2007";"Zeist";"3382";"947";"403";"1252";"1058"
"2007";"Zijpe";"683";"233";"106";"170";"31"
"2008";"Aalburg";"848";"256";"192";"211";"45"
"2008";"Aalsmeer";"1587";"454";"224";"388";"174"
"2008";"Aarle-Rixtel";"";"";"";"";""
"2008";"Abcoude";"629";"92";"48";"139";"94"
"2008";"Akersloot";"";"";"";"";""
"2008";"Alkmaar";"4994";"1820";"1087";"2191";"768"
"2008";"Alphen en Riel";"";"";"";"";""
"2008";"Alphen-Chaam";"620";"172";"72";"213";"55"
"2008";"Altena";"";"";"";"";""
"2008";"Amerongen";"";"";"";"";""
"2008";"Amersfoort";"8355";"2750";"1306";"3269";"1104"
"2008";"Amstelveen";"4197";"775";"394";"1702";"2782"
"2008";"Amsterdam";"31267";"14600";"5154";"21905";"25886"
"2008";"Andijk";"389";"110";"71";"110";"35"
"2008";"Anna Paulowna";"868";"309";"190";"251";"41"
"2008";"Asten";"1113";"332";"200";"271";"62"
"2008";"Baarle-Nassau";"294";"114";"58";"96";"23"
"2008";"Baarn";"1339";"374";"180";"448";"131"
"2008";"Bakel en Milheeze";"";"";"";"";""
"2008";"Beek en Donk";"";"";"";"";""
"2008";"Beemster";"548";"146";"89";"158";"67"
"2008";"Bennebroek";"340";"66";"30";"69";"41"
"2008";"Bergeijk";"1115";"363";"210";"320";"75"
"2008";"Bergen (NH.)";"1843";"390";"291";"440";"195"
"2008";"Bergen op Zoom";"3821";"1283";"851";"1133";"261"
"2008";"Bergeyk";"";"";"";"";""
"2008";"Berkel-Enschot";"";"";"";"";""
"2008";"Berlicum";"";"";"";"";""
"2008";"Bernheze";"1911";"621";"365";"644";"168"
"2008";"Best";"1840";"586";"252";"557";"206"
"2008";"Beverwijk";"1845";"703";"529";"665";"223"
"2008";"De Bilt";"2833";"535";"286";"709";"513"
"2008";"Bladel";"1253";"370";"219";"325";"70"
"2008";"Bladel en Netersel";"";"";"";"";""
"2008";"Blaricum";"614";"101";"41";"120";"75"
"2008";"Bloemendaal";"1232";"128";"54";"250";"210"
"2008";"Boekel";"618";"249";"146";"155";"34"
"2008";"Boxmeer";"1902";"695";"315";"503";"123"
"2008";"Boxtel";"1855";"602";"363";"614";"186"
"2008";"Breda";"9307";"2857";"1489";"7716";"1193"
"2008";"Breukelen";"886";"210";"119";"266";"106"
"2008";"Budel";"";"";"";"";""
"2008";"Bunnik";"1026";"177";"80";"298";"177"
"2008";"Bunschoten";"1265";"397";"373";"392";"78"
"2008";"Bussum";"1959";"330";"184";"436";"261"
"2008";"Castricum";"2367";"500";"336";"809";"304"
"2008";"Chaam";"";"";"";"";""
"2008";"Cothen";"";"";"";"";""
"2008";"Cranendonck";"991";"372";"214";"374";"86"
"2008";"Cuijk";"1492";"500";"266";"420";"111"
"2008";"Deurne";"2061";"808";"420";"592";"131"
"2008";"Diemen";"1391";"496";"163";"1025";"714"
"2008";"Diessen";"";"";"";"";""
"2008";"Dijk en Waard";"";"";"";"";""
"2008";"Dinteloord en Prinsenland";"";"";"";"";""
"2008";"Dongen";"1529";"516";"264";"450";"114"
"2008";"Doorn";"";"";"";"";""
"2008";"Drechterland";"1251";"347";"213";"359";"118"
"2008";"Driebergen-Rijsenburg";"";"";"";"";""
"2008";"Drimmelen";"1614";"518";"330";"482";"116"
"2008";"Drunen";"";"";"";"";""
"2008";"Den Dungen";"";"";"";"";""
"2008";"Dussen";"";"";"";"";""
"2008";"Edam-Volendam";"1709";"336";"270";"423";"255"
"2008";"Eemnes";"645";"119";"82";"157";"60"
"2008";"Eersel";"1261";"369";"230";"297";"111"
"2008";"Egmond";"";"";"";"";""
"2008";"Eindhoven";"9908";"3755";"1841";"6700";"5217"
"2008";"Enkhuizen";"1148";"317";"158";"305";"104"
"2008";"Esch";"";"";"";"";""
"2008";"Etten-Leur";"2348";"743";"523";"852";"201"
"2008";"Fijnaart en Heijningen";"";"";"";"";""
"2008";"Geertruidenberg";"1153";"357";"241";"316";"98"
"2008";"Geldrop";"";"";"";"";""
"2008";"Geldrop-Mierlo";"2208";"687";"387";"684";"252"
"2008";"Gemert";"";"";"";"";""
"2008";"Gooise Meren";"";"";"";"";""
"2008";"Graft-De Rijp";"399";"106";"69";"110";"32"
"2008";"'s-Graveland";"";"";"";"";""
"2008";"Haarlem";"7290";"2107";"1243";"3565";"1665"
"2008";"Haarlemmerliede en Spaarnwoude";"396";"116";"60";"123";"58"
"2008";"Haarlemmermeer";"8303";"2485";"1211";"2720";"1202"
"2008";"Harenkarspel";"1068";"285";"184";"270";"64"
"2008";"Harmelen";"";"";"";"";""
"2008";"Heemskerk";"2299";"888";"547";"723";"250"
"2008";"Heemstede";"1700";"260";"105";"374";"262"
"2008";"Heerhugowaard";"2913";"961";"635";"961";"299"
"2008";"Heiloo";"1413";"280";"144";"436";"187"
"2008";"Den Helder";"3211";"1314";"759";"821";"144"
"2008";"Hilversum";"4606";"1136";"640";"1696";"808"
"2008";"Hollands Kroon";"";"";"";"";""
"2008";"Hoorn";"4136";"1400";"740";"1328";"495"
"2008";"Houten";"3394";"915";"426";"1117";"532"
"2008";"Huizen";"2729";"783";"452";"815";"325"
"2008";"IJsselstein";"2216";"609";"289";"616";"292"
"2008";"Koggenland";"1369";"444";"280";"389";"107"
"2008";"Landsmeer";"624";"190";"89";"191";"76"
"2008";"Langbroek";"";"";"";"";""
"2008";"Langedijk";"1774";"481";"328";"540";"161"
"2008";"Laren (NH.)";"716";"79";"42";"128";"71"
"2008";"Leersum";"";"";"";"";""
"2008";"Leusden";"1940";"515";"243";"582";"175"
"2008";"Limmen";"";"";"";"";""
"2008";"Loenen";"511";"116";"37";"114";"71"
"2008";"Loosdrecht";"";"";"";"";""
"2008";"Lopik";"924";"292";"189";"264";"59"
"2008";"Maarn";"";"";"";"";""
"2008";"Maarssen";"2461";"709";"367";"819";"360"
"2008";"Maartensdijk";"";"";"";"";""
"2008";"Medemblik";"1651";"462";"311";"423";"119"
"2008";"Montfoort";"859";"295";"155";"276";"77"
"2008";"Muiden";"418";"82";"38";"87";"35"
"2008";"Naarden";"1235";"148";"75";"219";"155"
"2008";"Nederhorst den Berg";"";"";"";"";""
"2008";"Niedorp";"777";"244";"145";"219";"54"
"2008";"Nieuwegein";"3151";"1175";"635";"1306";"528"
"2008";"Noorder-Koggenland";"";"";"";"";""
"2008";"Obdam";"";"";"";"";""
"2008";"Oostzaan";"575";"158";"97";"140";"53"
"2008";"Opmeer";"733";"235";"180";"200";"40"
"2008";"Ouder-Amstel";"768";"161";"79";"259";"212"
"2008";"Oudewater";"615";"196";"130";"168";"53"
"2008";"Purmerend";"4607";"1730";"934";"1540";"518"
"2008";"Renswoude";"286";"103";"67";"82";"15"
"2008";"Rhenen";"1078";"289";"233";"280";"84"
"2008";"De Ronde Venen";"2223";"629";"306";"717";"275"
"2008";"Schagen";"1057";"314";"190";"325";"89"
"2008";"Schermer";"361";"106";"80";"102";"34"
"2008";"Schoorl";"";"";"";"";""
"2008";"Soest";"2698";"789";"402";"777";"276"
"2008";"Stede Broec";"1404";"378";"268";"350";"98"
"2008";"Stichtse Vecht";"";"";"";"";""
"2008";"Texel";"943";"181";"150";"70";"12"
"2008";"Uitgeest";"809";"208";"130";"284";"93"
"2008";"Uithoorn";"1708";"425";"244";"435";"201"
"2008";"Utrecht (gemeente)";"11269";"4992";"1660";"12691";"18724"
"2008";"Utrechtse Heuvelrug";"3060";"711";"424";"699";"306"
"2008";"Veenendaal";"3959";"1319";"730";"1277";"378"
"2008";"Velsen";"4257";"1243";"838";"1129";"466"
"2008";"Venhuizen";"";"";"";"";""
"2008";"Vianen";"1154";"366";"240";"374";"100"
"2008";"Vijfheerenlanden";"";"";"";"";""
"2008";"Vleuten-De Meern";"";"";"";"";""
"2008";"Waterland";"1071";"299";"158";"352";"141"
"2008";"Weesp";"841";"320";"151";"331";"162"
"2008";"Wervershoof";"637";"169";"120";"170";"33"
"2008";"Wester-Koggenland";"";"";"";"";""
"2008";"Wieringen";"440";"178";"101";"114";"17"
"2008";"Wieringermeer";"742";"213";"153";"150";"36"
"2008";"Wijdemeren";"1491";"288";"180";"341";"136"
"2008";"Wijk bij Duurstede";"1606";"476";"268";"431";"140"
"2008";"Woerden";"3002";"865";"499";"1022";"396"
"2008";"Wognum";"";"";"";"";""
"2008";"Wormerland";"972";"333";"196";"236";"96"
"2008";"Woudenberg";"813";"199";"126";"202";"58"
"2008";"Zaanstad";"7500";"2963";"1633";"2516";"1050"
"2008";"Zandvoort";"791";"239";"118";"198";"88"
"2008";"Zeevang";"451";"104";"49";"92";"46"
"2008";"Zeist";"3332";"970";"426";"1268";"1019"
"2008";"Zijpe";"702";"230";"119";"192";"34"
"2009";"Aalburg";"847";"258";"183";"207";"40"
"2009";"Aalsmeer";"1696";"454";"232";"435";"187"
"2009";"Aarle-Rixtel";"";"";"";"";""
"2009";"Abcoude";"628";"93";"43";"137";"103"
"2009";"Akersloot";"";"";"";"";""
"2009";"Alkmaar";"4822";"1875";"1008";"2247";"858"
"2009";"Alphen en Riel";"";"";"";"";""
"2009";"Alphen-Chaam";"625";"182";"77";"210";"51"
"2009";"Altena";"";"";"";"";""
"2009";"Amerongen";"";"";"";"";""
"2009";"Amersfoort";"8536";"2829";"1276";"3455";"1149"
"2009";"Amstelveen";"4291";"837";"351";"1748";"2877"
"2009";"Amsterdam";"31568";"14881";"4910";"23102";"27868"
"2009";"Andijk";"380";"106";"69";"118";"25"
"2009";"Anna Paulowna";"893";"332";"199";"253";"45"
"2009";"Asten";"1089";"378";"171";"265";"78"
"2009";"Baarle-Nassau";"265";"128";"59";"112";"18"
"2009";"Baarn";"1388";"351";"188";"423";"136"
"2009";"Bakel en Milheeze";"";"";"";"";""
"2009";"Beek en Donk";"";"";"";"";""
"2009";"Beemster";"558";"162";"73";"172";"74"
"2009";"Bennebroek";"";"";"";"";""
"2009";"Bergeijk";"1086";"383";"236";"339";"69"
"2009";"Bergen (NH.)";"1817";"382";"280";"463";"204"
"2009";"Bergen op Zoom";"3778";"1303";"1032";"1287";"247"
"2009";"Bergeyk";"";"";"";"";""
"2009";"Berkel-Enschot";"";"";"";"";""
"2009";"Berlicum";"";"";"";"";""
"2009";"Bernheze";"1945";"613";"359";"671";"157"
"2009";"Best";"1842";"609";"287";"617";"193"
"2009";"Beverwijk";"1883";"744";"556";"699";"251"
"2009";"De Bilt";"2819";"558";"285";"748";"540"
"2009";"Bladel";"1248";"373";"281";"344";"83"
"2009";"Bladel en Netersel";"";"";"";"";""
"2009";"Blaricum";"610";"97";"35";"119";"65"
"2009";"Bloemendaal";"1616";"201";"82";"317";"235"
"2009";"Boekel";"633";"251";"154";"166";"38"
"2009";"Boxmeer";"1915";"705";"499";"534";"145"
"2009";"Boxtel";"1780";"625";"350";"651";"180"
"2009";"Breda";"9382";"2897";"1463";"8113";"1307"
"2009";"Breukelen";"891";"226";"113";"257";"101"
"2009";"Budel";"";"";"";"";""
"2009";"Bunnik";"1015";"188";"95";"317";"199"
"2009";"Bunschoten";"1219";"417";"404";"431";"92"
"2009";"Bussum";"2006";"344";"180";"507";"304"
"2009";"Castricum";"2371";"501";"340";"834";"335"
"2009";"Chaam";"";"";"";"";""
"2009";"Cothen";"";"";"";"";""
"2009";"Cranendonck";"1016";"397";"245";"365";"76"
"2009";"Cuijk";"1552";"540";"350";"457";"120"
"2009";"Deurne";"2045";"880";"430";"610";"145"
"2009";"Diemen";"1444";"436";"149";"1101";"801"
"2009";"Diessen";"";"";"";"";""
"2009";"Dijk en Waard";"";"";"";"";""
"2009";"Dinteloord en Prinsenland";"";"";"";"";""
"2009";"Dongen";"1542";"518";"295";"502";"110"
"2009";"Doorn";"";"";"";"";""
"2009";"Drechterland";"1258";"354";"211";"375";"117"
"2009";"Driebergen-Rijsenburg";"";"";"";"";""
"2009";"Drimmelen";"1597";"517";"340";"502";"124"
"2009";"Drunen";"";"";"";"";""
"2009";"Den Dungen";"";"";"";"";""
"2009";"Dussen";"";"";"";"";""
"2009";"Edam-Volendam";"1727";"372";"254";"453";"256"
"2009";"Eemnes";"629";"140";"95";"140";"56"
"2009";"Eersel";"1242";"437";"249";"323";"105"
"2009";"Egmond";"";"";"";"";""
"2009";"Eindhoven";"9976";"3853";"2110";"7109";"5506"
"2009";"Enkhuizen";"1111";"330";"171";"305";"107"
"2009";"Esch";"";"";"";"";""
"2009";"Etten-Leur";"2333";"824";"508";"917";"207"
"2009";"Fijnaart en Heijningen";"";"";"";"";""
"2009";"Geertruidenberg";"1146";"379";"239";"333";"92"
"2009";"Geldrop";"";"";"";"";""
"2009";"Geldrop-Mierlo";"2198";"739";"516";"733";"195"
"2009";"Gemert";"";"";"";"";""
"2009";"Gooise Meren";"";"";"";"";""
"2009";"Graft-De Rijp";"422";"102";"65";"113";"25"
"2009";"'s-Graveland";"";"";"";"";""
"2009";"Haarlem";"7274";"2224";"1295";"3919";"1802"
"2009";"Haarlemmerliede en Spaarnwoude";"385";"105";"57";"120";"70"
"2009";"Haarlemmermeer";"8398";"2501";"1267";"2910";"1296"
"2009";"Harenkarspel";"1104";"286";"185";"296";"64"
"2009";"Harmelen";"";"";"";"";""
"2009";"Heemskerk";"2258";"907";"546";"764";"233"
"2009";"Heemstede";"1752";"238";"101";"410";"297"
"2009";"Heerhugowaard";"2977";"985";"617";"997";"300"
"2009";"Heiloo";"1442";"319";"158";"470";"198"
"2009";"Den Helder";"3144";"1323";"806";"856";"151"
"2009";"Hilversum";"4643";"1208";"633";"1801";"834"
"2009";"Hollands Kroon";"";"";"";"";""
"2009";"Hoorn";"4121";"1451";"695";"1463";"527"
"2009";"Houten";"3300";"881";"443";"1155";"540"
"2009";"Huizen";"2627";"783";"447";"847";"336"
"2009";"IJsselstein";"2185";"677";"312";"675";"290"
"2009";"Koggenland";"1413";"459";"301";"394";"109"
"2009";"Landsmeer";"607";"196";"91";"203";"87"
"2009";"Langbroek";"";"";"";"";""
"2009";"Langedijk";"1780";"521";"318";"516";"172"
"2009";"Laren (NH.)";"728";"86";"36";"115";"73"
"2009";"Leersum";"";"";"";"";""
"2009";"Leusden";"1939";"534";"240";"590";"175"
"2009";"Limmen";"";"";"";"";""
"2009";"Loenen";"542";"91";"49";"118";"70"
"2009";"Loosdrecht";"";"";"";"";""
"2009";"Lopik";"936";"309";"204";"254";"64"
"2009";"Maarn";"";"";"";"";""
"2009";"Maarssen";"2408";"738";"382";"807";"369"
"2009";"Maartensdijk";"";"";"";"";""
"2009";"Medemblik";"1627";"485";"295";"423";"128"
"2009";"Montfoort";"880";"282";"171";"264";"85"
"2009";"Muiden";"427";"78";"42";"99";"45"
"2009";"Naarden";"1264";"156";"97";"224";"141"
"2009";"Nederhorst den Berg";"";"";"";"";""
"2009";"Niedorp";"755";"237";"158";"213";"46"
"2009";"Nieuwegein";"3161";"1166";"651";"1313";"550"
"2009";"Noorder-Koggenland";"";"";"";"";""
"2009";"Obdam";"";"";"";"";""
"2009";"Oostzaan";"583";"175";"98";"162";"58"
"2009";"Opmeer";"729";"248";"172";"222";"35"
"2009";"Ouder-Amstel";"791";"170";"63";"273";"192"
"2009";"Oudewater";"643";"186";"120";"174";"49"
"2009";"Purmerend";"4564";"1804";"946";"1636";"551"
"2009";"Renswoude";"285";"105";"74";"95";"20"
"2009";"Rhenen";"1069";"308";"251";"281";"104"
"2009";"De Ronde Venen";"2231";"623";"345";"745";"266"
"2009";"Schagen";"1072";"355";"175";"325";"83"
"2009";"Schermer";"363";"119";"79";"102";"30"
"2009";"Schoorl";"";"";"";"";""
"2009";"Soest";"2742";"784";"387";"843";"273"
"2009";"Stede Broec";"1455";"390";"255";"354";"101"
